,0,1,2,3,4,5,6,7,8,9,avg-runtime
0,0.948,0.948,0.9479,0.9474,0.9482,0.9481,0.9478,0.9479,0.9479,0.9479,37.34413282871246
1,0.9625,0.9637,0.9623,0.9583,0.9625,0.9608,0.9612,0.9616,0.9603,0.9613,57.44168448448181
2,0.9635,0.9662,0.9654,0.9649,0.9645,0.9651,0.9663,0.9637,0.962,0.962,67.88679234981537
3,0.9648,0.9637,0.9652,0.9608,0.9629,0.9615,0.9638,0.9631,0.9622,0.9631,79.13472011089326
4,0.965,0.9609,0.9584,0.9614,0.9609,0.9653,0.9644,0.9614,0.9619,0.9614,111.35348434448242
5,0.955,0.9593,0.9611,0.9596,0.9611,0.958,0.9517,0.9533,0.9551,0.9588,121.99699516296387
6,0.9499,0.9515,0.9565,0.9529,0.9541,0.9473,0.9582,0.9536,0.9549,0.9557,126.42214612960815
7,0.9432,0.9463,0.9434,0.9434,0.9541,0.9469,0.9549,0.9429,0.9489,0.9561,133.82609734535217
8,0.9481,0.9471,0.9432,0.9518,0.9556,0.953,0.9518,0.9323,0.945,0.9467,146.12668712139129
9,0.9435,0.9467,0.9315,0.9424,0.9315,0.9521,0.9377,0.9206,0.9261,0.9355,159.55231282711028
10,0.9469,0.9331,0.9037,0.9444,0.9331,0.9352,0.9294,0.9401,0.9265,0.9292,172.67406907081605
