,0,1,2,3,4,5,6,7,8,9,avg-runtime
0.01,0.8186,0.8153,0.8127,0.8156,0.8121,0.8188,0.8139,0.8037,0.8136,0.812,0.7167665958404541
0.025,0.885,0.8869,0.8857,0.8853,0.8846,0.8838,0.8855,0.8853,0.8882,0.8818,1.2771120548248291
0.05,0.918,0.9191,0.9198,0.9188,0.9186,0.9179,0.9169,0.9238,0.918,0.9169,2.47775616645813
0.1,0.9382,0.9375,0.9369,0.9382,0.9371,0.9385,0.9361,0.9369,0.9381,0.9357,4.926430106163025
0.25,0.9485,0.9483,0.9488,0.9492,0.95,0.9492,0.95,0.949,0.9493,0.9488,12.192599201202393
0.5,0.9518,0.9553,0.952,0.9535,0.9504,0.9536,0.9516,0.9539,0.9542,0.954,24.361807012557982
1.0,0.961,0.9622,0.9605,0.9618,0.9624,0.961,0.9613,0.9631,0.9592,0.9594,48.52089612483978
2.5,0.9747,0.9746,0.9743,0.9749,0.9762,0.9736,0.9768,0.9757,0.9745,0.9738,121.54245340824127
5.0,0.9751,0.9756,0.9758,0.9731,0.9743,0.9771,0.9757,0.9761,0.9756,0.9774,243.19484033584595
10.0,0.9776,0.9781,0.9756,0.9768,0.9744,0.9789,0.9782,0.9778,0.9774,0.9786,495.4027783870697
25.0,0.976,0.9741,0.9762,0.979,0.9731,0.9756,0.9757,0.9786,0.9774,0.9777,1230.5292601585388
50.0,0.9758,0.9751,0.9753,0.9777,0.9766,0.9759,0.9777,0.9754,0.9763,0.9774,2483.1153392076494
