,0,1,2,3,4,5,6,7,8,9,avg-runtime
0.1,0.6957,0.4853,0.6249,0.6102,0.5378,0.5637,0.7292,0.7271,0.5788,0.7516,48.21813654899597
0.05,0.7993,0.7541,0.7343,0.7286,0.8131,0.8063,0.7975,0.7893,0.8383,0.7774,48.08919725418091
0.025,0.8467,0.861,0.7822,0.815,0.8305,0.7974,0.8118,0.84,0.7868,0.8034,48.04821829795837
0.01,0.8956,0.9219,0.8977,0.8718,0.9008,0.897,0.8961,0.8929,0.8702,0.8951,48.06462533473969
0.005,0.9197,0.9205,0.9274,0.9217,0.9252,0.9306,0.9314,0.9277,0.9273,0.9275,48.07270157337189
0.0025,0.9509,0.9524,0.9464,0.9433,0.9426,0.9431,0.941,0.9521,0.9471,0.9491,48.10239017009735
0.001,0.9649,0.9595,0.9595,0.9604,0.9632,0.9624,0.9565,0.9608,0.9581,0.9604,48.13835067749024
0.0005,0.9657,0.9631,0.9648,0.9658,0.963,0.9643,0.9661,0.9594,0.9623,0.965,48.10954749584198
0.00025,0.9615,0.9582,0.9606,0.9609,0.9584,0.9599,0.9627,0.9594,0.9605,0.962,49.47180004119873
0.0001,0.9556,0.9572,0.9555,0.9569,0.9562,0.9553,0.9572,0.9569,0.9557,0.9575,49.78262569904327
5e-05,0.9502,0.9511,0.9504,0.9522,0.9514,0.9513,0.9508,0.9518,0.9508,0.9514,52.3952707529068
2.5e-05,0.9459,0.9449,0.945,0.9453,0.9447,0.9455,0.9447,0.9456,0.9463,0.9454,51.948607659339906
1e-05,0.9274,0.9273,0.9263,0.927,0.9272,0.9281,0.9267,0.9281,0.9283,0.9243,48.36552205085754
