,0,1,2,3,4,5,6,7,8,9,avg-runtime
1,0.2596,0.221,0.2224,0.2206,0.2576,0.2333,0.2782,0.2278,0.2357,0.2233,48.872494268417356
2,0.4526,0.4652,0.4508,0.4544,0.4582,0.4035,0.4725,0.4265,0.4628,0.4483,48.456918239593506
4,0.8736,0.8681,0.8619,0.8461,0.8774,0.8076,0.878,0.8733,0.8773,0.831,48.43088989257812
8,0.9365,0.9395,0.9405,0.9386,0.9427,0.9435,0.9467,0.9377,0.9415,0.932,48.51067101955414
16,0.9517,0.9514,0.9516,0.954,0.9527,0.952,0.9539,0.9519,0.9533,0.9533,48.457035422325134
32,0.9574,0.9586,0.9581,0.9594,0.959,0.9559,0.9599,0.9586,0.9597,0.9584,48.490071749687196
64,0.9607,0.9614,0.9606,0.9597,0.9597,0.9623,0.9614,0.9614,0.9624,0.9604,48.4504490852356
128,0.9618,0.964,0.9635,0.9612,0.9634,0.964,0.9627,0.9654,0.9635,0.9632,48.97518434524536
256,0.9638,0.9633,0.9652,0.9638,0.9643,0.9639,0.9651,0.9644,0.9652,0.9655,49.6101690530777
512,0.9644,0.9631,0.9637,0.9613,0.9634,0.9639,0.9621,0.9647,0.9643,0.9632,49.50994260311127
