,0,1,2,3,4,5,6,7,8,9,avg-runtime
0,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,78.85530200004578
1,0.952,0.9499,0.9513,0.9508,0.948,0.9494,0.9496,0.9517,0.9506,0.9517,86.95883481502533
2,0.9523,0.9564,0.9549,0.9542,0.9548,0.9554,0.9559,0.9564,0.9544,0.9564,87.03638248443603
3,0.9583,0.9584,0.9607,0.9588,0.9588,0.9584,0.9582,0.9579,0.9594,0.9589,87.5710725069046
4,0.9602,0.9618,0.9618,0.9631,0.9623,0.9607,0.9608,0.9611,0.9587,0.961,88.08875820636749
5,0.9625,0.9634,0.9638,0.9635,0.9632,0.9633,0.9626,0.9612,0.9611,0.9638,87.4575798034668
6,0.966,0.9636,0.9644,0.9648,0.9644,0.963,0.9632,0.9636,0.965,0.964,87.04296364784241
7,0.9659,0.9662,0.9653,0.9652,0.9641,0.9657,0.9646,0.9665,0.9657,0.9656,87.41666371822357
8,0.9657,0.9635,0.9659,0.9665,0.967,0.9673,0.9647,0.9656,0.9668,0.9668,87.0271742105484
9,0.9637,0.9654,0.9644,0.9654,0.9651,0.9662,0.9657,0.9648,0.9659,0.9656,86.87678925991058
10,0.9645,0.9642,0.9643,0.9658,0.9661,0.9647,0.9664,0.965,0.9658,0.9645,86.81556227207184
