,0,1,2,3,4,5,6,7,8,9,avg-runtime
0,0.9382,0.9417,0.9398,0.9421,0.937,0.9429,0.9368,0.9426,0.9461,0.9398,40.01757445335388
1,0.9602,0.9606,0.9611,0.9604,0.9597,0.9588,0.961,0.9621,0.9606,0.9605,64.2105122089386
2,0.9596,0.9617,0.9623,0.961,0.9606,0.9608,0.96,0.9586,0.9611,0.9602,87.81025886535645
3,0.9607,0.9611,0.9591,0.9607,0.9607,0.96,0.9619,0.9582,0.9615,0.9607,110.181711435318
4,0.9605,0.9601,0.962,0.9615,0.9617,0.9614,0.9609,0.9634,0.9612,0.9611,132.83863883018495
5,0.9611,0.9616,0.9611,0.9616,0.9602,0.9615,0.9608,0.962,0.9621,0.9602,155.75851492881776
6,0.9595,0.9597,0.9609,0.9609,0.962,0.96,0.9609,0.961,0.9621,0.9608,179.10322241783143
7,0.961,0.9609,0.9603,0.9612,0.9618,0.962,0.9612,0.9588,0.9621,0.9618,202.20429351329804
8,0.9615,0.9613,0.9616,0.96,0.9609,0.9627,0.9627,0.9606,0.9615,0.9595,225.15039105415343
9,0.9615,0.9602,0.9629,0.9606,0.9601,0.9609,0.9604,0.9614,0.9599,0.9613,248.7963830947876
10,0.9606,0.9584,0.9608,0.9608,0.9602,0.9604,0.9615,0.96,0.9606,0.9599,271.7868200302124
