,0,1,2,3,4,5,6,7,8,9,avg-runtime
0.1,0.9132,0.9072,0.9128,0.9152,0.9147,0.9068,0.9128,0.9121,0.9058,0.9189,88.36830053329467
0.05,0.9271,0.9228,0.929,0.9242,0.9242,0.9267,0.9247,0.9277,0.9252,0.919,88.53048691749572
0.025,0.9357,0.9377,0.9341,0.9358,0.937,0.9389,0.9394,0.9395,0.9361,0.9368,88.18119258880616
0.01,0.9536,0.9548,0.9542,0.954,0.9531,0.9536,0.9531,0.955,0.9538,0.9542,87.7813705444336
0.005,0.9594,0.9604,0.9592,0.9585,0.9564,0.9577,0.9551,0.9601,0.9595,0.9576,85.31682586669922
0.0025,0.9619,0.9623,0.9605,0.9601,0.9605,0.9645,0.9617,0.9629,0.9624,0.9611,85.2963901758194
0.001,0.963,0.9624,0.9614,0.9614,0.9611,0.9599,0.9606,0.9599,0.9621,0.9618,85.21218807697296
0.0005,0.9596,0.9575,0.9588,0.9586,0.9586,0.9591,0.9581,0.9586,0.9586,0.9597,84.27647802829742
0.00025,0.955,0.9562,0.9532,0.9563,0.9551,0.9557,0.957,0.9557,0.9555,0.9553,83.67738420963288
0.0001,0.9491,0.9481,0.9503,0.9492,0.9518,0.9489,0.9493,0.9494,0.9494,0.9502,83.51897306442261
5e-05,0.9452,0.9446,0.9433,0.9424,0.9433,0.9428,0.9409,0.9441,0.9422,0.9452,83.92728502750397
2.5e-05,0.9336,0.9311,0.9297,0.9344,0.9343,0.9292,0.9318,0.9347,0.9317,0.9349,83.87517874240875
1e-05,0.9187,0.9178,0.9202,0.9157,0.9178,0.9221,0.9188,0.9212,0.9165,0.9196,84.08030734062194
