,0,1,2,3,4,5,6,7,8,9,avg-runtime
1,0.9371,0.9413,0.9409,0.9438,0.9443,0.9387,0.9406,0.9392,0.9372,0.9382,84.10295469760895
2,0.9536,0.9507,0.9501,0.9551,0.9518,0.9532,0.9492,0.9515,0.9518,0.9518,91.37191622257232
4,0.9564,0.9555,0.9582,0.956,0.9562,0.9578,0.9591,0.9568,0.958,0.9583,91.19880738258362
8,0.9599,0.9593,0.9601,0.9591,0.9577,0.9604,0.9591,0.9591,0.959,0.9598,88.41422278881073
16,0.9603,0.961,0.9596,0.9605,0.9611,0.9614,0.96,0.9611,0.9611,0.9603,88.30388627052307
32,0.9628,0.9631,0.962,0.962,0.9621,0.9613,0.9614,0.9619,0.963,0.9629,90.94793193340301
64,0.9627,0.9642,0.9636,0.9619,0.9618,0.9627,0.9647,0.963,0.9629,0.9638,85.89459064006806
128,0.9639,0.9643,0.9656,0.9661,0.9646,0.9652,0.9644,0.9637,0.9653,0.9638,90.21569781303405
256,0.9667,0.9647,0.9668,0.9663,0.9678,0.9658,0.9644,0.9668,0.9653,0.9666,96.70121402740479
512,0.9611,0.9607,0.9615,0.9612,0.9611,0.9628,0.96,0.9612,0.9618,0.9585,136.90677406787873
