,0,1,2,3,4,5,6,7,8,9,avg-runtime
0.1,0.9607,0.9595,0.9601,0.9599,0.9611,0.9582,0.9597,0.9596,0.96,0.9611,87.24013550281525
0.25,0.9609,0.9617,0.9614,0.9604,0.961,0.9611,0.9612,0.9604,0.9602,0.9615,87.33843626976014
0.5,0.9596,0.9603,0.961,0.9603,0.9622,0.9617,0.9603,0.9617,0.9603,0.9598,87.12354712486267
1.0,0.961,0.9622,0.9592,0.9606,0.96,0.9617,0.9609,0.9614,0.96,0.9614,87.0687108039856
2.5,0.961,0.9614,0.962,0.9605,0.9607,0.9608,0.9599,0.9607,0.9616,0.9609,87.1032205581665
5.0,0.9625,0.9603,0.9602,0.9618,0.9607,0.9607,0.9591,0.9617,0.9605,0.9619,87.05309746265411
10.0,0.9617,0.9623,0.9585,0.9622,0.9592,0.9618,0.9612,0.9604,0.9609,0.9624,87.10603611469269
25.0,0.9643,0.9606,0.9615,0.9614,0.9613,0.9615,0.9588,0.961,0.9611,0.9601,87.02889730930329
50.0,0.9617,0.9611,0.9621,0.9587,0.9621,0.9596,0.96,0.9597,0.961,0.9613,86.02712290287018
100.0,0.961,0.9604,0.961,0.9598,0.9604,0.96,0.9599,0.9602,0.9612,0.9605,85.850026512146
